url,address,year_built,condition,wear_percent,lat,lon
https://dom.mingkh.ru/astrahanskaya-oblast/astrahan/1299860,"ул. 2-я Игарская, 2, Астрахань, Астраханская область",1972,Исправный,,,
https://dom.mingkh.ru/astrahanskaya-oblast/astrahan/36719,"ул. 2-я Игарская, 4, Астрахань, Астраханская область",1972,Исправный,29,,
https://dom.mingkh.ru/astrahanskaya-oblast/astrahan/490397,"ул. 2-я Игарская, 6, Астрахань, Астраханская область",1972,Исправный,,,
https://dom.mingkh.ru/astrahanskaya-oblast/astrahan/36720,"ул. 2-я Игарская, 8, Астрахань, Астраханская область",1972,Исправный,29,,
https://dom.mingkh.ru/astrahanskaya-oblast/astrahan/814903,"ул. 2-я Игарская, 10, Астрахань, Астраханская область",2017,Исправный,2,,
https://dom.mingkh.ru/astrahanskaya-oblast/astrahan/814904,"ул. 2-я Игарская, 10 корпус 1, Астрахань, Астраханская область",2017,Исправный,2,,
https://dom.mingkh.ru/astrahanskaya-oblast/astrahan/1362721,"ул. 2-я Народная, 2, Астрахань, Астраханская область",,Аварийный,,46.3397052,48.0512347
https://dom.mingkh.ru/astrahanskaya-oblast/astrahan/1316155,"ул. 2-я Народная, 4, Астрахань, Астраханская область",,Аварийный,,46.3397052,48.0512347
https://dom.mingkh.ru/astrahanskaya-oblast/astrahan/1417615,"ул. 2-я Народная, 8, Астрахань, Астраханская область",1917,Исправный,,46.3397052,48.0512347
https://dom.mingkh.ru/astrahanskaya-oblast/astrahan/1392594,"ул. 2-я Народная, 2/1, Астрахань, Астраханская область",,Аварийный,,46.3397052,48.0512347
https://dom.mingkh.ru/astrahanskaya-oblast/astrahan/1384609,"ул. 2-я Народная, 2/2, Астрахань, Астраханская область",,Аварийный,,46.3397052,48.0512347
https://dom.mingkh.ru/astrahanskaya-oblast/astrahan/1300262,"ул. 2-я Перевозная, 13, Астрахань, Астраханская область",,Аварийный,,,
https://dom.mingkh.ru/astrahanskaya-oblast/astrahan/1296786,"ул. 2-я Степная, 15, Астрахань, Астраханская область",1952,Аварийный,45,46.2760021,47.9650078
https://dom.mingkh.ru/astrahanskaya-oblast/astrahan/1227954,"ул. 2-я Степная, 17, Астрахань, Астраханская область",1955,Аварийный,,46.2759487,47.9654363
